Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:24PDT2021, 0-3, 8, 1, 16 , 0.455,  12.287, 1.97,  0.503,  0.543,  0.6494,  0.799,  0.927,  1.1478,  1.813,  4.936600000000007, 932494, off
TueApr614:16:02PDT2021, 0-3, 8, 1, 16 , 0.431,  8.383, 1.22,  0.471,  0.503,  0.599,  0.663,  0.767,  0.8997999999999999,  1.327,  2.2054000000000005, 988204, off
TueApr614:48:22PDT2021, 0-3, 8, 1, 16 , 0.471,  12.031, 1.92,  0.527,  0.6022000000000001,  0.791,  0.9222000000000001,  1.051,  1.1638,  1.695,  4.831, 890881, off
TueApr615:20:29PDT2021, 0-3, 8, 1, 16 , 0.455,  4.767, .95,  0.495,  0.519,  0.551,  0.671,  0.787,  0.9077999999999999,  1.063,  1.4614000000000007, 935314, off
TueApr615:52:43PDT2021, 0-3, 8, 1, 16 , 0.455,  12.287, 1.75,  0.495,  0.543,  0.6174,  0.7462000000000001,  0.875,  1.1045999999999998,  1.647,  4.191, 944676, off
TueApr616:24:38PDT2021, 0-3, 8, 1, 16 , 0.423,  6.015, .93,  0.44780000000000003,  0.4726,  0.535,  0.6422000000000001,  0.703,  0.775,  0.971,  1.6542000000000003, 1.02526e+06, off
TueApr616:56:54PDT2021, 0-3, 8, 1, 16 , 0.431,  10.175, 1.39,  0.479,  0.527,  0.7213999999999999,  0.799,  0.879,  0.991,  1.313,  2.904600000000008, 984089, off
TueApr618:01:22PDT2021, 0-3, 8, 1, 16 , 0.447,  11.583, 1.48,  0.4878,  0.5286000000000001,  0.623,  0.7174,  0.863,  1.0405999999999997,  1.471,  3.4790000000000028, 960034, off
TueApr618:33:24PDT2021, 0-3, 8, 1, 16 , 0.447,  11.967, 1.63,  0.495,  0.535,  0.631,  0.759,  0.887,  1.0934,  1.623,  4.191, 944173, off
TueApr619:05:40PDT2021, 0-3, 8, 1, 16 , 0.447,  12.159, 1.72,  0.495,  0.543,  0.6254,  0.7382000000000001,  0.867,  1.0597999999999999,  1.561,  4.223, 946532, off
