Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:20PDT2021, 0-3, 8, 1, 16 , 0.511,  4.095, 1.35,  0.6558,  0.7366,  0.807,  0.943,  1.047,  1.2358,  1.685,  2.639, 888057, off
TueApr614:16:13PDT2021, 0-3, 8, 1, 16 , 0.519,  4.383, 1.34,  0.559,  0.6166,  0.687,  0.8054000000000001,  0.963,  1.279,  1.803,  2.715800000000001, 881893, off
TueApr614:48:12PDT2021, 0-3, 8, 1, 16 , 0.503,  2.751, 1.19,  0.6158,  0.687,  0.751,  0.863,  0.975,  1.1782,  1.557,  2.159, 878348, off
TueApr615:20:06PDT2021, 0-3, 8, 1, 16 , 0.519,  4.543, 1.42,  0.575,  0.663,  0.7373999999999999,  0.8502000000000001,  1.003,  1.3014,  1.839,  3.032600000000002, 871991, off
TueApr615:52:14PDT2021, 0-3, 8, 1, 16 , 0.519,  4.671, 1.41,  0.567,  0.631,  0.7053999999999999,  0.8262,  0.9989999999999999,  1.311,  1.831,  2.8454000000000006, 883237, off
TueApr616:24:29PDT2021, 0-3, 8, 1, 16 , 0.519,  5.503, 1.46,  0.655,  0.727,  0.791,  0.9382,  1.047,  1.2677999999999998,  1.805,  3.023, 883194, off
TueApr616:56:24PDT2021, 0-3, 8, 1, 16 , 0.527,  2.783, 1.26,  0.623,  0.687,  0.767,  0.9062000000000001,  1.031,  1.3397999999999999,  1.721,  2.2694000000000005, 882465, off
TueApr618:00:32PDT2021, 0-3, 8, 1, 16 , 0.519,  5.631, 1.37,  0.6158,  0.711,  0.7774,  0.9062000000000001,  1.019,  1.199,  1.709,  2.687, 874544, off
TueApr618:32:28PDT2021, 0-3, 8, 1, 16 , 0.535,  2.607, 1.23,  0.607,  0.6806000000000001,  0.7694,  0.895,  1.071,  1.351,  1.697,  2.093400000000001, 898399, off
TueApr619:04:24PDT2021, 0-3, 8, 1, 16 , 0.535,  2.271, 1.18,  0.655,  0.727,  0.7934,  0.9222000000000001,  1.031,  1.287,  1.593,  1.911, 885270, off
