Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:38PDT2021, 0-3, 8, 1, 16 , 0.455,  12.031, 1.83,  0.503,  0.559,  0.6494,  0.8022000000000001,  0.911,  1.1238,  1.737,  4.683800000000007, 935733, off
TueApr614:15:58PDT2021, 0-3, 8, 1, 16 , 0.415,  7.487, 1.04,  0.447,  0.479,  0.6093999999999999,  0.695,  0.751,  0.8357999999999999,  1.195,  1.8782000000000003, 1.05525e+06, off
TueApr614:48:13PDT2021, 0-3, 8, 1, 16 , 0.455,  11.967, 1.85,  0.511,  0.5606000000000001,  0.6494,  0.799,  0.895,  1.0757999999999999,  1.681,  4.655000000000006, 927902, off
TueApr615:20:29PDT2021, 0-3, 8, 1, 16 , 0.455,  12.095, 1.73,  0.511,  0.5766,  0.687,  0.799,  0.931,  1.079,  1.559,  4.191, 970984, off
TueApr615:52:47PDT2021, 0-3, 8, 1, 16 , 0.455,  8.319, 1.15,  0.487,  0.519,  0.599,  0.703,  0.803,  0.9238,  1.201,  2.0462000000000002, 950604, off
TueApr616:25:07PDT2021, 0-3, 8, 1, 16 , 0.447,  12.223, 1.94,  0.503,  0.567,  0.663,  0.783,  0.911,  1.1205999999999998,  1.801,  4.936600000000007, 946701, off
TueApr616:57:08PDT2021, 0-3, 8, 1, 16 , 0.447,  6.463, 1.03,  0.471,  0.49660000000000004,  0.535,  0.639,  0.715,  0.847,  1.217,  1.839, 987679, off
TueApr618:01:29PDT2021, 0-3, 8, 1, 16 , 0.447,  12.287, 1.90,  0.495,  0.5446000000000001,  0.639,  0.7622000000000001,  0.899,  1.1685999999999999,  1.623,  4.869400000000009, 954423, off
TueApr618:33:44PDT2021, 0-3, 8, 1, 16 , 0.447,  11.903, 1.57,  0.495,  0.5542,  0.695,  0.7862000000000001,  0.923,  1.0517999999999998,  1.433,  3.9974000000000007, 957851, off
TueApr619:06:08PDT2021, 0-3, 8, 1, 16 , 0.455,  12.223, 1.93,  0.5038,  0.5606000000000001,  0.679,  0.8022000000000001,  0.927,  1.0677999999999999,  1.697,  4.827800000000002, 934608, off
