Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:29PDT2021, 0-3, 8, 1, 16 , 0.511,  2.671, 1.22,  0.575,  0.6406000000000001,  0.7133999999999999,  0.8342,  1.011,  1.335,  1.705,  2.1254000000000004, 896109, off
TueApr614:16:00PDT2021, 0-3, 8, 1, 16 , 0.527,  5.215, 1.46,  0.5998,  0.6806000000000001,  0.775,  0.9062000000000001,  1.063,  1.3638,  1.875,  2.9238000000000013, 863820, off
TueApr614:48:08PDT2021, 0-3, 8, 1, 16 , 0.527,  4.831, 1.45,  0.591,  0.6566000000000001,  0.735,  0.8662000000000001,  1.007,  1.3077999999999999,  1.819,  3.117400000000001, 876971, off
TueApr615:20:04PDT2021, 0-3, 8, 1, 16 , 0.503,  2.863, 1.22,  0.5518000000000001,  0.623,  0.687,  0.791,  0.947,  1.2885999999999997,  1.699,  2.287, 890182, off
TueApr615:51:58PDT2021, 0-3, 8, 1, 16 , 0.519,  5.439, 1.55,  0.583,  0.6726000000000001,  0.7454,  0.863,  1.031,  1.3237999999999999,  1.933,  3.551, 893084, off
TueApr616:23:59PDT2021, 0-3, 8, 1, 16 , 0.535,  6.367, 1.70,  0.655,  0.743,  0.8357999999999999,  0.991,  1.135,  1.383,  2.159,  3.8950000000000027, 857265, off
TueApr616:56:05PDT2021, 0-3, 8, 1, 16 , 0.511,  2.559, 1.15,  0.559,  0.607,  0.671,  0.775,  0.907,  1.2518,  1.647,  2.0382000000000002, 911011, off
TueApr617:57:35PDT2021, 0-3, 8, 1, 16 , 0.519,  5.279, 1.48,  0.5918,  0.671,  0.7534,  0.887,  1.063,  1.3718,  1.881,  2.9878000000000013, 872819, off
TueApr618:29:30PDT2021, 0-3, 8, 1, 16 , 0.519,  3.823, 1.22,  0.5758,  0.647,  0.711,  0.815,  0.935,  1.183,  1.617,  2.3174000000000006, 881048, off
TueApr619:01:25PDT2021, 0-3, 8, 1, 16 , 0.519,  4.383, 1.38,  0.5998,  0.687,  0.7534,  0.8822000000000001,  1.023,  1.2965999999999998,  1.791,  2.7302000000000013, 888421, off
