Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
MonMay1000:22:36PDT2021, 0-3, 8, 1, 16 , 0.519,  4.799, 1.35,  0.591,  0.695,  0.759,  0.855,  0.987,  1.1798,  1.657,  2.8134000000000006, 885593, off
MonMay1000:22:38PDT2021, 0-3, 8, 1, 16 , 0.535,  3.775, 1.42,  0.607,  0.6886000000000001,  0.807,  0.9494,  1.235,  1.4838,  1.947,  2.6694000000000004, 860290, off
MonMay1000:22:42PDT2021, 0-3, 8, 1, 16 , 0.519,  4.991, 1.43,  0.5598000000000001,  0.639,  0.711,  0.823,  0.991,  1.3205999999999998,  1.865,  3.053400000000001, 880148, off
MonMay1000:22:43PDT2021, 0-3, 8, 1, 16 , 0.519,  2.687, 1.20,  0.607,  0.6726000000000001,  0.751,  0.879,  0.995,  1.2965999999999998,  1.649,  2.061400000000001, 887947, off
MonMay1001:22:35PDT2021, 0-3, 8, 1, 16 , 0.535,  5.471, 1.49,  0.623,  0.703,  0.7854,  0.9222000000000001,  1.067,  1.3558,  1.857,  3.053400000000001, 862867, off
MonMay1001:22:36PDT2021, 0-3, 8, 1, 16 , 0.527,  4.927, 1.34,  0.599,  0.679,  0.7534,  0.8742000000000001,  0.995,  1.2677999999999998,  1.739,  2.648600000000002, 875753, off
MonMay1001:22:37PDT2021, 0-3, 8, 1, 16 , 0.527,  5.567, 1.41,  0.6398,  0.7286,  0.7934,  0.9302000000000001,  1.039,  1.2438,  1.705,  2.767, 864053, off
MonMay1001:22:38PDT2021, 0-3, 8, 1, 16 , 0.519,  2.591, 1.19,  0.631,  0.695,  0.767,  0.8982000000000001,  0.991,  1.1958,  1.589,  2.063, 877664, off
MonMay1002:22:36PDT2021, 0-3, 8, 1, 16 , 0.527,  5.023, 1.41,  0.599,  0.679,  0.759,  0.8854000000000001,  1.039,  1.343,  1.813,  2.8454000000000006, 870423, off
MonMay1002:22:41PDT2021, 0-3, 8, 1, 16 , 0.519,  6.879, 1.61,  0.631,  0.7046,  0.7854,  0.9462,  1.151,  1.407,  2.063,  3.235800000000004, 857061, off
MonMay1002:22:44PDT2021, 0-3, 8, 1, 16 , 0.519,  5.919, 1.54,  0.623,  0.719,  0.7854,  0.927,  1.063,  1.3205999999999998,  1.893,  3.2934000000000005, 881706, off
MonMay1003:22:35PDT2021, 0-3, 8, 1, 16 , 0.527,  5.631, 1.45,  0.5918,  0.6806000000000001,  0.759,  0.8902000000000001,  1.035,  1.3125999999999998,  1.771,  2.879, 876193, off
MonMay1003:22:36PDT2021, 0-3, 8, 1, 16 , 0.519,  3.327, 1.31,  0.591,  0.671,  0.743,  0.879,  1.031,  1.359,  1.783,  2.5414000000000008, 883966, off
MonMay1003:22:44PDT2021, 0-3, 8, 1, 16 , 0.535,  4.703, 1.42,  0.639,  0.719,  0.791,  0.911,  1.023,  1.263,  1.783,  2.8742000000000014, 862465, off
MonMay1003:22:46PDT2021, 0-3, 8, 1, 16 , 0.535,  6.463, 1.63,  0.623,  0.719,  0.8197999999999999,  0.9622,  1.119,  1.4198,  2.079,  3.565400000000001, 866641, off
MonMay1004:22:36PDT2021, 0-3, 8, 1, 16 , 0.527,  4.543, 1.39,  0.583,  0.663,  0.743,  0.863,  0.9989999999999999,  1.2757999999999998,  1.785,  2.943, 867006, off
MonMay1004:22:37PDT2021, 0-3, 8, 1, 16 , 0.527,  2.431, 1.19,  0.663,  0.727,  0.799,  0.9382,  1.039,  1.2518,  1.563,  1.975, 874502, off
