Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:32PDT2021, 0-3, 8, 1, 16 , 0.519,  5.247, 1.48,  0.5758,  0.6646000000000001,  0.743,  0.8742000000000001,  1.043,  1.3365999999999998,  1.889,  3.0998000000000014, 876287, off
TueApr614:16:12PDT2021, 0-3, 8, 1, 16 , 0.519,  2.607, 1.26,  0.583,  0.647,  0.7373999999999999,  0.8742000000000001,  1.159,  1.391,  1.771,  2.187800000000001, 892568, off
TueApr614:48:21PDT2021, 0-3, 8, 1, 16 , 0.527,  2.751, 1.22,  0.5998,  0.671,  0.751,  0.8662000000000001,  0.987,  1.287,  1.673,  2.109400000000001, 876062, off
TueApr615:20:17PDT2021, 0-3, 8, 1, 16 , 0.527,  5.823, 1.43,  0.623,  0.703,  0.775,  0.9062000000000001,  1.019,  1.2885999999999997,  1.771,  2.7974000000000006, 877066, off
TueApr615:52:25PDT2021, 0-3, 8, 1, 16 , 0.527,  4.607, 1.47,  0.5918,  0.671,  0.7477999999999999,  0.8822000000000001,  1.067,  1.3718,  1.889,  3.087, 883019, off
TueApr616:24:40PDT2021, 0-3, 8, 1, 16 , 0.519,  4.575, 1.34,  0.575,  0.647,  0.711,  0.8294,  0.971,  1.2566,  1.745,  2.671, 899315, off
TueApr616:56:49PDT2021, 0-3, 8, 1, 16 , 0.527,  3.007, 1.27,  0.6158,  0.687,  0.775,  0.9062000000000001,  1.027,  1.3317999999999999,  1.731,  2.3014000000000006, 868262, off
TueApr618:00:40PDT2021, 0-3, 8, 1, 16 , 0.535,  5.791, 1.56,  0.647,  0.727,  0.807,  0.9382,  1.075,  1.3638,  1.933,  3.400600000000002, 869165, off
TueApr618:32:51PDT2021, 0-3, 8, 1, 16 , 0.543,  4.447, 1.40,  0.599,  0.679,  0.7694,  0.887,  0.991,  1.2453999999999998,  1.801,  2.8598000000000012, 854518, off
TueApr619:04:59PDT2021, 0-3, 8, 1, 16 , 0.511,  2.767, 1.25,  0.567,  0.639,  0.711,  0.8214,  0.999,  1.319,  1.775,  2.3174000000000006, 892757, off
