Run No,Instance Id,Exp Time,Case No,VM Type,P-50,P-75,P-90,Avg RPS,Avg User Utilization(%), Avg System Utilization(%)
run_14,i-0ecb1555e8bb83209,MonAug1620:37:50PDT2021,case_2,secondary,1.686,3.521,14.703,10.56k,23.6183,46.5303
run_18,i-0ed0d6bdb84bad57c,TueAug1700:34:54PDT2021,case_2,secondary,3571.711,6426.623,9510.911,9.81k,23.6541,50.8063
run_14,i-0ed3388f8bdab2f63,MonAug1620:37:50PDT2021,case_2,secondary,1.338,2.183,207.999,10.80k,24.0458,48.9752
run_13,i-0ed4482db701920f3,MonAug1619:38:33PDT2021,case_2,secondary,3176.447,6406.143,9625.599,9.78k,23.2132,51.1374
run_3,i-0edcf377c33e085f7,MonAug1609:45:51PDT2021,case_2,secondary,1.707,3.983,17.247,10.81k,22.8781,47.136
run_22,i-0ef7dff49ed3c5e49,TueAug1704:31:58PDT2021,case_2,secondary,1.792,4.111,18.111,10.69k,23.1982,46.8647
run_4,i-0f363980826bcab24,MonAug1610:45:08PDT2021,case_2,secondary,1.723,4.035,23.087,10.62k,23.3964,47.4581
run_17,i-0f3d009a5efb129ac,MonAug1623:35:38PDT2021,case_2,secondary,1.735,4.167,98.943,10.87k,24.2778,48.2249
run_13,i-0f54fa1be05c0807c,MonAug1619:38:33PDT2021,case_2,secondary,1.617,3.181,13.551,10.87k,24.216,48.2081
run_23,i-0f551f6cee3f7a6c6,TueAug1705:31:14PDT2021,case_2,secondary,1.878,5.419,22.383,10.85k,24.4685,49.2754
run_2,i-0f71bd64887125d70,MonAug1608:46:35PDT2021,case_2,secondary,1.832,4.659,83.967,10.88k,24.0895,49.3642
run_6,i-0f806e7b581eaebe6,MonAug1612:43:40PDT2021,case_2,secondary,1.566,3.039,20.607,10.87k,23.7553,48.6005
run_6,i-0f86b8ad6845acdbd,MonAug1612:43:40PDT2021,case_2,secondary,3.147,11.303,65.663,10.45k,22.0959,50.4542
run_8,i-0f9bb22c6a8483dff,MonAug1614:42:12PDT2021,case_2,secondary,1.307,1.978,5.991,10.87k,23.1457,50.7359
run_15,i-0f9ca263f11893cc6,MonAug1621:37:06PDT2021,case_2,secondary,1.434,2.763,13.927,10.87k,21.4082,46.7303
run_2,i-0fb3ce64a24a52861,MonAug1608:46:35PDT2021,case_2,secondary,2.127,6.323,26.463,10.41k,23.9381,48.9615
run_16,i-0fc19a69389f1f9b7,MonAug1622:36:22PDT2021,case_2,secondary,3.223,12.543,39.935,10.52k,21.9063,49.5541
run_9,i-0fc469630ffb1ca85,MonAug1615:41:29PDT2021,case_2,secondary,1.479,2.205,4.379,10.87k,23.6247,47.722
run_9,i-0fd554b40d261d8bc,MonAug1615:41:29PDT2021,case_2,secondary,2.000,5.299,20.751,10.63k,23.9514,48.1679
run_24,i-0fdccba76ab514d3f,TueAug1706:30:31PDT2021,case_2,secondary,2.141,7.351,34.431,10.49k,23.6476,48.5807
run_15,i-0fec1d665e9791a65,MonAug1621:37:06PDT2021,case_2,secondary,1.365,1.948,3.291,10.87k,23.8861,48.7921
