Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:25PDT2021, 0-3, 8, 1, 16 , 0.463,  12.031, 2.04,  0.519,  0.6326,  0.759,  0.8854000000000001,  1.007,  1.1525999999999998,  1.889,  5.749400000000003, 927129, off
TueApr614:16:20PDT2021, 0-3, 8, 1, 16 , 0.439,  12.159, 1.60,  0.487,  0.5206000000000001,  0.615,  0.7222000000000001,  0.871,  1.079,  1.521,  3.5158000000000067, 961281, off
TueApr614:48:26PDT2021, 0-3, 8, 1, 16 , 0.463,  12.223, 1.90,  0.527,  0.5926,  0.767,  0.8902000000000001,  1.015,  1.1238,  1.709,  4.411800000000001, 898022, off
TueApr615:20:42PDT2021, 0-3, 8, 1, 16 , 0.447,  7.743, 1.04,  0.479,  0.503,  0.543,  0.647,  0.735,  0.8517999999999999,  1.131,  1.923800000000001, 960693, off
TueApr615:53:09PDT2021, 0-3, 8, 1, 16 , 0.479,  4.383, 1.16,  0.535,  0.5686,  0.6517999999999999,  0.8662000000000001,  1.003,  1.119,  1.297,  2.036600000000001, 875083, off
TueApr616:25:15PDT2021, 0-3, 8, 1, 16 , 0.455,  5.983, 1.00,  0.487,  0.519,  0.567,  0.655,  0.755,  0.863,  1.023,  1.735, 961553, off
TueApr616:57:16PDT2021, 0-3, 8, 1, 16 , 0.447,  10.623, 1.36,  0.495,  0.527,  0.599,  0.6982,  0.831,  0.951,  1.369,  2.648600000000002, 943193, off
TueApr618:01:38PDT2021, 0-3, 8, 1, 16 , 0.447,  12.031, 1.77,  0.503,  0.5686,  0.679,  0.7862000000000001,  0.923,  1.031,  1.577,  4.399000000000005, 944112, off
TueApr618:33:39PDT2021, 0-3, 8, 1, 16 , 0.447,  12.095, 1.89,  0.5038,  0.5766,  0.6814,  0.8102,  0.9390000000000001,  1.1525999999999998,  1.721,  4.632600000000003, 955726, off
TueApr619:05:39PDT2021, 0-3, 8, 1, 16 , 0.455,  12.031, 1.78,  0.503,  0.5526000000000001,  0.671,  0.775,  0.911,  1.0757999999999999,  1.585,  4.443800000000001, 958856, off
