Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
MonMay1000:22:44PDT2021, 0-11, 24, 1, 16 , 0.519,  4.703, 1.81,  0.583,  0.751,  0.955,  1.207,  1.567,  1.975,  2.671,  3.415, 2.52982e+06, off
MonMay1000:22:52PDT2021, 0-11, 24, 1, 16 , 0.511,  4.479, 1.79,  0.575,  0.751,  0.943,  1.199,  1.555,  1.967,  2.643,  3.423, 2.56058e+06, off
MonMay1000:22:54PDT2021, 0-11, 24, 1, 16 , 0.519,  4.863, 1.86,  0.591,  0.775,  0.975,  1.239,  1.595,  2.031,  2.755,  3.543, 2.49719e+06, off
MonMay1001:22:43PDT2021, 0-11, 24, 1, 16 , 0.519,  4.511, 1.84,  0.575,  0.743,  0.951,  1.207,  1.571,  2.007,  2.739,  3.535, 2.54068e+06, off
MonMay1001:22:44PDT2021, 0-11, 24, 1, 16 , 0.519,  4.927, 1.88,  0.591,  0.775,  0.967,  1.239,  1.623,  2.079,  2.815,  3.583, 2.52119e+06, off
MonMay1001:22:45PDT2021, 0-11, 24, 1, 16 , 0.519,  4.511, 1.85,  0.583,  0.759,  0.963,  1.231,  1.607,  2.047,  2.767,  3.503, 2.57053e+06, off
MonMay1001:22:50PDT2021, 0-11, 24, 1, 16 , 0.503,  5.151, 1.89,  0.583,  0.751,  0.951,  1.231,  1.607,  2.079,  2.831,  3.663, 2.59971e+06, off
MonMay1002:22:43PDT2021, 0-11, 24, 1, 16 , 0.511,  4.511, 1.79,  0.575,  0.743,  0.943,  1.191,  1.551,  1.967,  2.671,  3.367, 2.6055e+06, off
MonMay1002:22:44PDT2021, 0-11, 24, 1, 16 , 0.519,  4.671, 1.87,  0.587,  0.775,  0.971,  1.247,  1.623,  2.079,  2.783,  3.583, 2.53839e+06, off
MonMay1002:22:51PDT2021, 0-11, 24, 1, 16 , 0.519,  4.767, 1.85,  0.583,  0.751,  0.943,  1.191,  1.583,  2.039,  2.767,  3.551, 2583150, off
MonMay1002:22:52PDT2021, 0-11, 24, 1, 16 , 0.519,  4.799, 1.81,  0.583,  0.743,  0.951,  1.199,  1.567,  1.983,  2.707,  3.415, 2.58014e+06, off
MonMay1003:22:42PDT2021, 0-11, 24, 1, 16 , 0.511,  5.119, 1.86,  0.579,  0.743,  0.951,  1.207,  1.583,  2.047,  2.767,  3.551, 2.56303e+06, off
MonMay1003:22:45PDT2021, 0-11, 24, 1, 16 , 0.511,  4.575, 1.84,  0.583,  0.759,  0.955,  1.223,  1.591,  2.015,  2.735,  3.487, 2.55929e+06, off
MonMay1003:22:52PDT2021, 0-11, 24, 1, 16 , 0.519,  4.831, 1.91,  0.599,  0.783,  0.983,  1.263,  1.647,  2.111,  2.851,  3.655, 2.53875e+06, off
MonMay1004:22:44PDT2021, 0-11, 24, 1, 16 , 0.519,  4.959, 1.88,  0.583,  0.759,  0.959,  1.231,  1.615,  2.063,  2.787,  3.599, 2.53078e+06, off
