Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
MonMay1004:22:50PDT2021, 0-11, 24, 1, 16 , 0.503,  4.511, 1.80,  0.575,  0.743,  0.951,  1.207,  1.563,  1.983,  2.671,  3.391, 2.5689e+06, off
MonMay1004:22:52PDT2021, 0-11, 24, 1, 16 , 0.503,  4.671, 1.82,  0.575,  0.751,  0.951,  1.215,  1.575,  1.999,  2.719,  3.487, 2.56819e+06, off
MonMay1004:22:53PDT2021, 0-11, 24, 1, 16 , 0.519,  4.991, 1.86,  0.583,  0.751,  0.951,  1.223,  1.591,  2.031,  2.783,  3.575, 2.54273e+06, off
MonMay1005:22:44PDT2021, 0-11, 24, 1, 16 , 0.511,  4.671, 1.81,  0.579,  0.743,  0.951,  1.199,  1.563,  1.991,  2.687,  3.423, 2.58206e+06, off
MonMay1005:22:51PDT2021, 0-11, 24, 1, 16 , 0.519,  4.799, 1.86,  0.587,  0.767,  0.967,  1.231,  1.599,  2.047,  2.751,  3.487, 2.56271e+06, off
MonMay1005:22:52PDT2021, 0-11, 24, 1, 16 , 0.511,  4.607, 1.83,  0.583,  0.759,  0.959,  1.223,  1.587,  2.007,  2.719,  3.471, 2.5937e+06, off
MonMay1005:22:53PDT2021, 0-11, 24, 1, 16 , 0.519,  4.671, 1.85,  0.583,  0.767,  0.959,  1.215,  1.587,  2.031,  2.751,  3.503, 2.55981e+06, off
MonMay1006:22:44PDT2021, 0-11, 24, 1, 16 , 0.519,  4.607, 1.83,  0.591,  0.767,  0.959,  1.223,  1.591,  2.015,  2.719,  3.471, 2.52698e+06, off
MonMay1006:22:52PDT2021, 0-11, 24, 1, 16 , 0.511,  4.479, 1.83,  0.575,  0.751,  0.955,  1.215,  1.583,  2.023,  2.719,  3.471, 2.55385e+06, off
MonMay1006:22:53PDT2021, 0-11, 24, 1, 16 , 0.519,  4.735, 1.87,  0.591,  0.775,  0.967,  1.263,  1.623,  2.063,  2.783,  3.519, 2.56938e+06, off
SunMay921:22:52PDT2021, 0-11, 24, 1, 16 , 0.511,  5.119, 1.85,  0.575,  0.735,  0.943,  1.191,  1.559,  1.999,  2.755,  3.607, 2.5611e+06, off
SunMay921:22:53PDT2021, 0-11, 24, 1, 16 , 0.519,  4.991, 1.90,  0.583,  0.759,  0.959,  1.231,  1.627,  2.095,  2.847,  3.631, 2.556e+06, off
SunMay922:22:43PDT2021, 0-11, 24, 1, 16 , 0.519,  4.671, 1.82,  0.583,  0.759,  0.955,  1.223,  1.579,  1.991,  2.687,  3.423, 2.5782e+06, off
SunMay922:22:45PDT2021, 0-11, 24, 1, 16 , 0.511,  4.543, 1.79,  0.575,  0.735,  0.9390000000000001,  1.183,  1.543,  1.943,  2.643,  3.423, 2.56572e+06, off
SunMay922:22:52PDT2021, 0-11, 24, 1, 16 , 0.519,  5.023, 1.88,  0.583,  0.759,  0.963,  1.231,  1.603,  2.079,  2.803,  3.599, 2.55761e+06, off
SunMay922:22:53PDT2021, 0-11, 24, 1, 16 , 0.519,  4.895, 1.91,  0.591,  0.783,  0.975,  1.255,  1.639,  2.095,  2.835,  3.631, 2.55292e+06, off
SunMay923:22:43PDT2021, 0-11, 24, 1, 16 , 0.519,  4.895, 1.85,  0.583,  0.751,  0.959,  1.231,  1.587,  2.039,  2.751,  3.527, 2.58966e+06, off
SunMay923:22:45PDT2021, 0-11, 24, 1, 16 , 0.519,  4.767, 1.87,  0.591,  0.759,  0.959,  1.223,  1.591,  2.063,  2.815,  3.591, 2.50733e+06, off
SunMay923:22:52PDT2021, 0-11, 24, 1, 16 , 0.511,  4.895, 1.85,  0.583,  0.759,  0.959,  1.215,  1.591,  2.023,  2.767,  3.551, 2.59644e+06, off
